CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350227.00,1445,1440,1440,1445,1440,1445,1440,1440,1440,1440,1445,1440,1445,1445,1440,1440,1440,1440,1440,1440,1445,1440,1440,1440,1445,1440,1440,1440,1445,1440,1440,1440,1440,1440
5350228.00,2670,2670,2675,2670,2670,2675,2670,2670,2675,2670,2675,2670,2670,2670,2670,2670,2675,2675,2675,2670,2670,2670,2670,2670,2670,2670,2670,2675,2675,2670,2675,2670,2670,2675
5350229.00,870,870,865,865,870,870,870,865,865,865,870,870,870,870,870,870,870,865,870,865,870,865,870,870,870,865,865,870,870,870,870,870,865,870
5350230.01,2115,2115,2115,2120,2115,2115,2115,2115,2115,2115,2115,2120,2115,2120,2115,2115,2115,2115,2120,2120,2115,2115,2115,2115,2115,2115,2120,2120,2120,2115,2120,2115,2115,2115
5350230.02,5455,5455,5450,5450,5450,5455,5455,5450,5455,5450,5450,5455,5450,5450,5455,5455,5455,5450,5455,5455,5455,5450,5450,5450,5450,5455,5455,5450,5455,5455,5455,5450,5455,5455
5350231.00,5510,5510,5505,5510,5505,5510,5505,5510,5510,5505,5505,5510,5505,5510,5510,5510,5505,5505,5510,5510,5505,5510,5510,5505,5510,5505,5505,5510,5510,5510,5505,5505,5505,5510
5350232.00,3240,3240,3240,3235,3240,3240,3240,3240,3240,3240,3240,3235,3240,3235,3240,3240,3240,3235,3240,3240,3240,3240,3235,3240,3240,3240,3240,3240,3240,3240,3240,3240,3235,3240
5350233.00,4635,4630,4635,4635,4630,4635,4635,4630,4630,4635,4630,4630,4630,4630,4630,4630,4630,4630,4630,4630,4635,4635,4630,4635,4630,4635,4630,4630,4630,4630,4630,4635,4630,4635
5350234.00,3745,3745,3745,3745,3745,3745,3745,3745,3745,3740,3745,3745,3745,3740,3745,3745,3745,3745,3745,3740,3745,3745,3745,3745,3745,3745,3745,3745,3745,3745,3745,3745,3745,3740
5350235.01,2440,2440,2440,2440,2440,2440,2440,2440,2445,2440,2440,2445,2445,2440,2440,2440,2440,2445,2440,2440,2440,2440,2445,2440,2445,2440,2445,2440,2440,2440,2440,2440,2445,2440
5350235.02,4575,4575,4575,4575,4580,4575,4575,4575,4580,4580,4575,4580,4580,4575,4575,4580,4575,4580,4575,4580,4575,4580,4575,4580,4575,4580,4575,4580,4580,4575,4580,4580,4575,4575
5350236.01,5515,5515,5520,5520,5515,5515,5520,5515,5515,5515,5515,5520,5515,5520,5515,5515,5520,5515,5515,5515,5520,5515,5515,5515,5515,5515,5520,5515,5520,5515,5515,5515,5515,5515
5350236.02,5135,5135,5135,5130,5135,5135,5130,5135,5135,5130,5135,5135,5135,5135,5135,5135,5135,5130,5135,5135,5135,5130,5135,5135,5135,5130,5135,5135,5135,5135,5135,5135,5135,5130
5350237.01,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370,5370
5350237.02,2470,2470,2470,2465,2465,2470,2470,2465,2465,2470,2470,2470,2465,2470,2465,2470,2470,2465,2465,2470,2470,2470,2470,2465,2470,2465,2465,2470,2470,2465,2465,2470,2465,2470
5350237.03,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940
5350238.01,2905,2910,2910,2905,2905,2905,2905,2905,2905,2905,2905,2905,2905,2905,2905,2910,2905,2910,2905,2905,2910,2905,2905,2905,2905,2905,2905,2905,2905,2910,2905,2905,2905,2905
5350238.02,4290,4290,4290,4290,4290,4290,4290,4290,4290,4295,4295,4295,4290,4290,4295,4290,4290,4290,4295,4295,4290,4290,4290,4290,4290,4295,4290,4290,4290,4290,4295,4290,4290,4290
5350239.00,5235,5235,5240,5240,5235,5240,5240,5240,5235,5235,5240,5240,5240,5235,5235,5235,5240,5240,5235,5240,5235,5235,5235,5240,5240,5235,5235,5235,5240,5240,5240,5235,5235,5240
5350240.01,2900,2905,2900,2900,2900,2900,2905,2900,2900,2900,2900,2900,2905,2900,2900,2905,2900,2900,2905,2900,2905,2900,2900,2900,2905,2900,2900,2900,2900,2900,2900,2905,2900,2905
5350240.02,4965,4965,4970,4970,4970,4965,4970,4970,4965,4970,4965,4965,4970,4970,4970,4965,4970,4970,4970,4965,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970
5350241.00,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
5350242.00,1300,1300,1300,1300,1305,1300,1305,1305,1305,1300,1305,1305,1300,1305,1300,1300,1300,1305,1305,1300,1305,1300,1305,1300,1305,1305,1305,1300,1300,1305,1300,1305,1300,1305
5350243.01,5120,5120,5115,5120,5115,5120,5120,5115,5120,5120,5120,5120,5120,5120,5120,5115,5120,5120,5120,5120,5120,5120,5120,5120,5115,5115,5115,5120,5120,5120,5120,5115,5120,5120
5350243.02,3100,3100,3100,3095,3100,3095,3100,3100,3095,3100,3100,3095,3100,3100,3100,3095,3100,3100,3095,3100,3095,3095,3095,3100,3095,3095,3095,3100,3100,3095,3100,3100,3095,3100
5350244.01,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710,4710
5350244.02,2930,2930,2930,2930,2930,2930,2935,2935,2930,2930,2935,2930,2930,2930,2935,2930,2930,2930,2930,2930,2930,2930,2935,2930,2935,2930,2930,2930,2930,2930,2935,2930,2935,2935
5350245.00,5800,5795,5800,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5800,5795,5795,5800,5795,5795,5795,5795,5795,5795,5795,5795,5795,5800,5795
5350246.00,2925,2925,2925,2930,2925,2925,2930,2930,2930,2925,2925,2925,2930,2925,2930,2925,2930,2925,2925,2930,2930,2925,2925,2930,2930,2930,2925,2925,2925,2925,2925,2925,2925,2925
5350247.01,7270,7275,7275,7275,7270,7275,7270,7275,7270,7275,7275,7275,7275,7275,7275,7275,7270,7270,7275,7270,7275,7275,7270,7275,7275,7270,7270,7275,7275,7275,7275,7275,7270,7275
5350247.02,6055,6060,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6060,6055,6055,6060,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055
5350248.02,4270,4270,4275,4270,4270,4270,4270,4275,4270,4270,4270,4275,4275,4270,4270,4275,4270,4270,4275,4270,4270,4270,4270,4270,4270,4270,4270,4275,4270,4270,4270,4275,4270,4270
5350248.03,2225,2225,2220,2225,2225,2220,2225,2225,2225,2220,2220,2220,2225,2225,2220,2220,2220,2220,2225,2220,2220,2225,2225,2225,2225,2220,2225,2225,2225,2220,2225,2220,2220,2220
5350248.04,3940,3940,3940,3940,3935,3935,3940,3940,3940,3940,3935,3935,3940,3940,3940,3935,3940,3935,3940,3935,3940,3940,3940,3940,3935,3935,3935,3940,3940,3940,3940,3940,3940,3935
5350248.05,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630
5350249.01,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995,3995
5350249.03,4725,4725,4725,4720,4725,4720,4720,4720,4725,4720,4720,4720,4725,4725,4725,4725,4725,4725,4725,4725,4720,4725,4720,4725,4725,4725,4725,4720,4720,4725,4720,4725,4720,4725
5350249.04,2710,2710,2710,2710,2710,2710,2715,2715,2710,2710,2710,2715,2710,2715,2710,2715,2710,2710,2710,2710,2710,2715,2715,2710,2710,2710,2715,2710,2715,2710,2715,2715,2710,2715
5350249.05,4230,4230,4230,4230,4225,4230,4230,4230,4230,4230,4230,4225,4225,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4225,4225,4230,4225,4230,4230,4230,4230,4230,4230,4230
5350250.01,4290,4290,4290,4290,4290,4295,4295,4290,4290,4290,4290,4290,4290,4290,4295,4290,4290,4290,4295,4295,4290,4290,4295,4295,4290,4290,4290,4295,4290,4290,4290,4295,4290,4290
5350250.02,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105
5350250.04,4585,4585,4585,4585,4590,4590,4585,4585,4585,4585,4590,4590,4590,4585,4585,4585,4590,4585,4585,4585,4590,4590,4585,4585,4585,4585,4585,4590,4585,4585,4590,4590,4585,4585
5350250.05,5945,5950,5945,5950,5950,5950,5950,5950,5950,5950,5950,5945,5950,5950,5945,5945,5950,5950,5950,5950,5945,5950,5950,5950,5945,5950,5945,5945,5950,5945,5945,5945,5945,5945
5350260.01,5695,5690,5695,5690,5690,5695,5695,5690,5695,5695,5695,5695,5695,5695,5695,5690,5695,5695,5695,5695,5690,5690,5690,5690,5695,5690,5690,5695,5695,5695,5695,5695,5690,5695
5350260.04,3210,3210,3215,3215,3210,3210,3210,3210,3210,3215,3210,3210,3210,3210,3215,3210,3215,3210,3215,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3215,3210,3210,3210
5350260.05,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845
5350260.06,2620,2615,2620,2615,2615,2615,2615,2615,2620,2615,2615,2615,2620,2615,2615,2615,2615,2615,2620,2615,2615,2615,2620,2615,2615,2620,2615,2615,2620,2620,2615,2620,2620,2615
5350260.07,3175,3175,3175,3175,3170,3175,3170,3175,3175,3175,3175,3170,3175,3175,3175,3175,3170,3175,3175,3170,3175,3175,3175,3170,3175,3175,3170,3175,3175,3175,3175,3175,3175,3175
5350261.00,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465
5350262.01,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890
5350262.02,5200,5195,5200,5195,5200,5200,5200,5200,5200,5200,5200,5195,5195,5200,5200,5195,5195,5200,5200,5200,5200,5200,5195,5195,5195,5200,5200,5195,5200,5200,5200,5200,5195,5200
5350263.02,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2925,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2925,2925,2925,2920,2925,2920,2925,2920,2925,2920
5350263.03,3935,3935,3935,3940,3935,3935,3935,3940,3935,3935,3935,3935,3935,3935,3935,3940,3935,3940,3935,3940,3940,3935,3935,3935,3935,3935,3935,3940,3935,3935,3935,3940,3935,3935
5350263.04,5770,5765,5770,5770,5765,5765,5770,5770,5770,5765,5765,5770,5765,5770,5770,5770,5770,5770,5765,5770,5770,5765,5765,5765,5770,5770,5765,5770,5770,5765,5770,5770,5770,5770
5350264.00,1140,1145,1145,1145,1145,1140,1145,1140,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1140,1145,1140,1145,1145,1145,1145,1145,1140,1145,1145,1145,1140,1145
5350265.00,3825,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3825,3825,3830,3830,3825,3830,3830,3825,3830,3830,3830,3830,3830,3830,3830,3830,3825,3830,3830,3830,3825
5350266.00,2770,2775,2775,2775,2775,2775,2770,2775,2775,2770,2770,2770,2775,2775,2775,2775,2775,2775,2775,2775,2775,2770,2775,2775,2775,2775,2770,2775,2775,2775,2775,2775,2775,2775
5350267.00,5270,5270,5270,5270,5275,5270,5275,5270,5275,5270,5270,5270,5270,5275,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5275,5270,5270,5275,5270,5270,5270,5270,5275
5350268.00,5495,5495,5495,5500,5495,5495,5495,5500,5495,5495,5495,5500,5495,5495,5495,5495,5500,5495,5495,5495,5495,5495,5495,5495,5500,5495,5495,5495,5495,5495,5495,5495,5495,5500
5350269.01,4290,4285,4285,4290,4290,4285,4290,4285,4285,4290,4290,4290,4285,4290,4290,4290,4285,4290,4290,4285,4285,4285,4290,4290,4285,4290,4285,4290,4290,4285,4285,4290,4290,4290
5350269.02,2175,2175,2175,2180,2180,2175,2175,2180,2175,2175,2175,2175,2175,2175,2175,2180,2175,2175,2175,2175,2175,2175,2175,2180,2175,2175,2175,2180,2175,2175,2175,2175,2175,2175
5350270.01,4155,4155,4155,4155,4155,4155,4155,4155,4155,4155,4150,4150,4150,4150,4155,4150,4150,4150,4150,4150,4150,4155,4155,4155,4150,4150,4150,4155,4150,4155,4150,4155,4150,4155
5350270.02,3415,3420,3415,3415,3420,3415,3415,3415,3420,3420,3415,3415,3420,3420,3420,3420,3415,3420,3415,3420,3420,3420,3415,3420,3415,3420,3415,3415,3420,3420,3415,3420,3420,3420
5350271.01,2060,2060,2055,2060,2060,2060,2060,2060,2055,2060,2060,2060,2060,2060,2060,2060,2055,2060,2060,2060,2060,2055,2060,2060,2060,2055,2055,2060,2055,2055,2055,2060,2055,2055
5350271.02,3895,3890,3890,3890,3890,3890,3895,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3895,3890,3890,3890,3890,3895,3890,3890,3890,3890,3890,3895,3890,3890,3890,3890,3895
5350272.01,4895,4895,4900,4895,4900,4900,4895,4895,4900,4900,4900,4895,4895,4895,4895,4895,4895,4895,4900,4900,4900,4895,4895,4900,4900,4895,4895,4895,4895,4900,4895,4895,4895,4900
5350272.02,4015,4015,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4015,4010,4010,4010,4010,4015,4010,4010,4010,4010,4010,4010,4010,4015,4010,4010,4010,4010
5350273.01,3275,3270,3275,3275,3275,3275,3275,3275,3275,3275,3275,3270,3270,3275,3275,3275,3270,3275,3270,3275,3270,3275,3270,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275
5350273.02,3535,3535,3535,3535,3535,3535,3535,3535,3540,3540,3540,3535,3535,3540,3535,3540,3535,3540,3540,3535,3540,3540,3540,3535,3540,3540,3535,3540,3535,3535,3540,3540,3535,3535
5350274.01,4095,4095,4090,4090,4090,4095,4095,4090,4090,4090,4095,4090,4095,4090,4095,4095,4090,4090,4090,4095,4090,4095,4090,4090,4090,4095,4095,4090,4090,4090,4095,4090,4090,4090
5350274.02,4140,4140,4140,4140,4135,4140,4135,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4135,4135,4135,4135,4140,4140,4140,4140,4140,4140
5350275.00,4890,4890,4895,4890,4890,4895,4895,4890,4890,4895,4895,4895,4895,4895,4895,4890,4895,4890,4895,4895,4890,4890,4895,4890,4890,4895,4890,4895,4890,4895,4890,4890,4895,4895
5350276.01,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150
5350276.02,5410,5410,5415,5410,5410,5415,5415,5410,5415,5410,5415,5415,5415,5415,5415,5415,5415,5415,5410,5410,5410,5415,5410,5415,5415,5415,5415,5410,5410,5415,5415,5415,5410,5415
5350277.00,3105,3100,3105,3105,3105,3100,3100,3100,3105,3105,3100,3100,3105,3100,3100,3105,3105,3105,3100,3105,3105,3105,3105,3100,3100,3105,3100,3105,3105,3100,3100,3100,3105,3100
5350278.00,5930,5930,5930,5925,5925,5930,5930,5930,5930,5925,5930,5925,5925,5930,5930,5930,5930,5925,5930,5925,5925,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5925,5930
5350279.01,3455,3455,3455,3455,3455,3450,3450,3450,3450,3455,3455,3450,3450,3450,3455,3450,3455,3450,3450,3455,3450,3450,3455,3455,3455,3455,3455,3455,3450,3455,3455,3455,3455,3455
5350279.02,4955,4955,4955,4960,4955,4960,4955,4955,4955,4955,4955,4955,4955,4955,4960,4955,4955,4955,4960,4955,4960,4955,4955,4960,4955,4955,4955,4955,4955,4955,4955,4955,4955,4955
5350280.00,6035,6030,6030,6035,6035,6030,6035,6030,6030,6030,6035,6035,6030,6035,6030,6035,6035,6030,6035,6030,6030,6030,6030,6030,6030,6030,6030,6030,6035,6035,6035,6030,6030,6030
5350281.01,5255,5255,5255,5255,5255,5255,5260,5260,5260,5255,5260,5255,5255,5255,5260,5260,5255,5255,5255,5255,5255,5255,5260,5255,5255,5255,5255,5255,5255,5255,5255,5255,5255,5255
5350281.02,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060
5350282.00,3835,3830,3835,3835,3830,3835,3835,3835,3835,3830,3835,3830,3830,3835,3830,3830,3835,3835,3835,3830,3835,3830,3835,3830,3830,3830,3835,3830,3830,3835,3835,3830,3835,3830
5350283.01,4195,4200,4195,4195,4200,4195,4200,4195,4195,4195,4195,4200,4200,4195,4195,4195,4195,4195,4195,4195,4195,4195,4200,4195,4200,4195,4200,4195,4200,4195,4195,4195,4195,4195
5350283.02,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3630,3625,3625,3625,3630,3625,3625,3625,3625,3625,3625,3625,3625,3630,3630,3625,3625
5350284.00,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540
5350285.00,2825,2825,2830,2825,2825,2825,2830,2830,2830,2830,2825,2830,2830,2825,2830,2830,2830,2830,2830,2830,2825,2830,2830,2830,2825,2825,2830,2825,2830,2825,2825,2830,2825,2825
5350286.00,3655,3655,3650,3655,3655,3655,3655,3655,3655,3655,3655,3655,3650,3655,3655,3655,3655,3655,3655,3650,3655,3655,3650,3655,3650,3655,3650,3655,3655,3655,3655,3655,3650,3655
5350287.02,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935
5350287.03,2610,2610,2610,2610,2605,2610,2610,2605,2610,2605,2610,2610,2610,2605,2610,2610,2610,2605,2610,2605,2610,2610,2605,2610,2610,2610,2605,2610,2610,2610,2610,2605,2605,2610
5350287.04,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3610,3615,3615,3615,3615,3610,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3610,3615,3615,3615,3615,3615,3615,3615
5350288.00,8215,8220,8215,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8220,8215,8220,8215,8215,8220,8220,8220,8220,8220,8220,8220,8220,8220,8215,8215,8220
5350289.00,4015,4015,4015,4015,4015,4020,4015,4015,4020,4015,4020,4020,4015,4020,4015,4015,4020,4020,4020,4015,4015,4020,4020,4020,4015,4020,4020,4015,4020,4015,4015,4015,4020,4020
5350290.01,3030,3025,3025,3025,3025,3025,3025,3025,3030,3025,3030,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3030,3025,3030,3025,3025,3025,3025,3025,3025,3025,3030,3025
5350290.02,1310,1315,1310,1315,1310,1315,1310,1310,1310,1315,1310,1315,1310,1315,1310,1310,1315,1310,1310,1315,1315,1310,1310,1315,1315,1310,1310,1310,1310,1315,1315,1310,1315,1315
5350291.02,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160
5350291.03,1980,1980,1980,1980,1980,1980,1980,1985,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1985,1980,1980,1980,1980,1980,1980,1980,1980,1985,1985,1980,1980
5350291.04,1350,1355,1355,1350,1350,1355,1350,1350,1350,1350,1350,1350,1350,1355,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1355,1350,1350,1350,1350,1350,1350,1355,1350,1355
5350292.00,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435
5350293.00,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140,5140
5350294.01,3565,3565,3560,3565,3565,3560,3565,3560,3560,3565,3565,3565,3560,3565,3565,3565,3560,3565,3565,3565,3560,3565,3560,3560,3565,3560,3565,3565,3560,3565,3565,3565,3560,3560
5350294.02,3840,3835,3835,3835,3840,3840,3835,3835,3840,3835,3835,3835,3840,3835,3835,3835,3840,3835,3840,3835,3835,3840,3840,3835,3835,3835,3835,3835,3835,3835,3835,3835,3840,3840
5350295.00,4365,4370,4370,4370,4370,4365,4370,4370,4370,4365,4370,4365,4365,4370,4370,4365,4370,4370,4365,4365,4370,4370,4370,4370,4370,4370,4370,4365,4370,4365,4365,4370,4370,4370
5350296.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5350297.01,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185
5350297.02,5440,5435,5440,5440,5440,5435,5440,5435,5440,5435,5440,5435,5440,5440,5435,5440,5440,5435,5435,5440,5440,5440,5435,5440,5440,5440,5440,5440,5440,5440,5435,5440,5440,5440
5350298.00,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715
5350299.01,5110,5105,5110,5110,5110,5105,5105,5110,5105,5110,5105,5110,5110,5110,5105,5110,5110,5105,5105,5105,5110,5110,5105,5110,5110,5105,5110,5110,5105,5105,5110,5110,5110,5110
5350299.02,4830,4825,4825,4830,4830,4825,4825,4825,4830,4825,4825,4825,4830,4830,4825,4825,4830,4825,4825,4825,4825,4825,4825,4830,4825,4830,4830,4825,4825,4825,4825,4825,4825,4825
5350300.00,12175,12170,12170,12170,12170,12175,12175,12170,12170,12170,12170,12170,12170,12170,12170,12170,12170,12170,12170,12175,12175,12170,12175,12170,12170,12170,12170,12170,12170,12170,12170,12175,12170,12170
5350301.01,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
5350301.03,5760,5760,5760,5760,5760,5765,5765,5765,5765,5765,5765,5760,5760,5765,5765,5760,5760,5765,5760,5760,5760,5760,5765,5765,5765,5765,5760,5760,5765,5760,5760,5760,5765,5760
5350301.04,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055,5055
5350302.01,5510,5510,5515,5515,5515,5510,5510,5515,5515,5510,5515,5515,5515,5515,5515,5510,5515,5515,5510,5515,5510,5515,5510,5515,5515,5510,5510,5510,5510,5515,5515,5515,5515,5515
5350302.02,5260,5255,5260,5255,5255,5255,5260,5260,5255,5260,5255,5260,5260,5255,5255,5260,5260,5260,5255,5255,5260,5255,5260,5255,5260,5255,5255,5255,5255,5260,5255,5255,5255,5260
5350302.03,2985,2985,2985,2985,2990,2990,2985,2985,2985,2985,2990,2985,2985,2990,2990,2985,2985,2985,2990,2985,2985,2985,2990,2990,2990,2990,2985,2985,2990,2985,2985,2990,2990,2985
5350303.00,4455,4460,4455,4455,4455,4460,4455,4455,4455,4455,4460,4460,4455,4455,4455,4460,4455,4460,4455,4455,4460,4455,4455,4460,4460,4455,4455,4455,4455,4455,4455,4455,4460,4455
5350304.01,3660,3665,3665,3660,3665,3665,3660,3660,3660,3660,3665,3665,3665,3660,3660,3665,3660,3660,3665,3660,3660,3665,3660,3665,3665,3665,3665,3660,3665,3660,3660,3660,3660,3660
5350304.02,3995,3995,3995,3995,3995,3995,3995,3990,3990,3995,3995,3995,3995,3995,3990,3995,3995,3995,3995,3995,3995,3995,3995,3990,3995,3995,3995,3990,3995,3995,3995,3995,3995,3995
5350304.03,2455,2450,2455,2450,2455,2450,2450,2450,2455,2455,2450,2455,2455,2455,2455,2455,2455,2450,2455,2450,2455,2455,2450,2450,2455,2450,2450,2450,2455,2455,2450,2455,2450,2455
5350304.04,3065,3065,3065,3060,3060,3065,3065,3065,3060,3060,3065,3065,3065,3060,3060,3065,3060,3060,3060,3065,3065,3060,3065,3060,3065,3065,3065,3060,3065,3060,3065,3065,3060,3065
5350304.05,2540,2540,2540,2540,2540,2540,2540,2540,2540,2545,2540,2540,2545,2545,2545,2545,2540,2545,2540,2540,2540,2540,2545,2545,2540,2540,2540,2540,2545,2540,2545,2545,2540,2540
5350304.06,5045,5045,5045,5045,5045,5040,5045,5045,5045,5040,5045,5045,5040,5040,5040,5040,5045,5045,5040,5045,5045,5045,5040,5045,5045,5045,5045,5045,5045,5040,5040,5040,5040,5045
5350305.01,3925,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3925,3930,3925,3930,3930,3930,3930,3930,3925,3930,3930,3930,3930,3930,3930,3930
5350305.03,4295,4295,4295,4295,4295,4295,4300,4295,4295,4295,4295,4295,4300,4295,4295,4295,4295,4295,4295,4295,4300,4295,4295,4295,4295,4295,4295,4295,4295,4295,4300,4295,4295,4295
5350305.04,8050,8050,8050,8050,8050,8055,8050,8050,8050,8050,8055,8050,8050,8055,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,8055,8050,8050,8050,8050,8050,8055,8050,8055,8050
